File,Words,DistinctStems
data/trimmed/1080-0.txt,3430,958
data/trimmed/11-0.txt,30812,2442
data/trimmed/120-0.txt,101291,5002
data/trimmed/1232-0.txt,150809,6691
data/trimmed/1250-0.txt,169906,6892
data/trimmed/1260-0.txt,359699,10578
data/trimmed/1342-0.txt,482602,11081
data/trimmed/1400-0.txt,671591,12659
data/trimmed/16-0.txt,719496,12979
data/trimmed/160-0.txt,785032,13668
data/trimmed/16328-0.txt,825383,14710
data/trimmed/1661-0.txt,931185,15499
data/trimmed/174-0.txt,1011632,16197
data/trimmed/1952-0.txt,1017885,16234
data/trimmed/205-0.txt,1135076,17630
data/trimmed/219-0.txt,1174145,17874
data/trimmed/23-0.txt,1215372,18105
data/trimmed/2500-0.txt,1255153,18237
data/trimmed/2542-0.txt,1282489,18284
data/trimmed/2554-0.txt,1491553,18908
data/trimmed/2591-0.txt,1593461,19041
data/trimmed/2600-0.txt,2176448,21482
data/trimmed/2701-0.txt,2391171,23414
data/trimmed/2814-0.txt,2460432,23892
data/trimmed/2852-0.txt,2520332,24040
data/trimmed/3207-0.txt,2732674,25887
data/trimmed/345-0.txt,2895618,26512
data/trimmed/408-0.txt,2965703,26965
data/trimmed/41-0.txt,2978072,27048
data/trimmed/43-0.txt,3003989,27118
data/trimmed/4300-0.txt,3272923,35955
data/trimmed/45-0.txt,3379859,36195
data/trimmed/5200-0.txt,3402239,36227
data/trimmed/55-0.txt,3442076,36263
data/trimmed/6130-0.txt,3636530,38049
data/trimmed/74-0.txt,3710079,38279
data/trimmed/76-0.txt,3826645,38817
data/trimmed/84-0.txt,3901969,38918
data/trimmed/844-0.txt,3922879,38967
data/trimmed/98-0.txt,4061199,39132
data/trimmed/pg1184.txt,4530283,40115
data/trimmed/pg1727.txt,4651412,40421
data/trimmed/pg2148.txt,4746134,40869
data/trimmed/pg25344.txt,4831258,40996
data/trimmed/pg46.txt,4860412,41026
data/trimmed/pg4980.txt,4883809,41046
data/trimmed/pg514.txt,5074890,41485
data/trimmed/pg64317.txt,5124918,41729
data/trimmed/pg7370.txt,5181082,42104
data/trimmed/pg996.txt,5612128,43324
