Occurences,Stems
100076,1
2596964,1
1856,2
11320,1
952065,1
9707,2
6916374,1
38644,1
3398439,1
49189,1
84027,1
1999758,1
2686,2
510610,1
795157,1
5190,2
750503,1
328408,1
7486,1
402371,1
31733,1
4398362,1
143298,1
352557,1
437,6
3412999,1
350,22
565430,1
13326,1
5056,1
5959,1
1725170,1
923697,1
5763,1
23169,1
112252,1
314682,1
62871,1
105116,1
540642,1
120646,1
30085,1
16005,1
399883,1
542513,1
217373,1
38758,1
27286,1
50,348
93323,1
20723,1
1049566,1
3478,2
3596,2
1960,1
59266,1
72614,1
31732,1
18730,1
603809,1
6517,1
630,10
103765,1
2170,3
327406,1
863,7
123815,1
65252,1
14982,1
27101,1
70939,1
6813,2
396,11
380554,1
34787,1
11938,2
252077,1
15758,1
359,16
3939,1
3648,1
970565,1
20033,1
305388,1
35638,1
115913,1
1704,4
101088,1
66632,1
66408,1
5530,1
19451,1
9669,1
2007,2
6227,2
35578,1
73,63
2295822,1
150997,1
12299,1
16944,1
1677965,1
1863,2
19209,1
72309,1
125226,1
805217,1
5356,2
10520,1
82252,1
56856,1
1048,2
37366,1
14208,1
224889,1
3753,1
558,6
39338,1
2249,4
261796,1
64350,1
323113,1
17468,1
1822,1
16019,1
6191,1
42562,1
70731,1
7126,1
501,3
339901,1
6146,2
512937,1
187447,1
690708,1
1319034,1
2235,4
51789,1
7798,1
13059,1
859727,1
674696,1
17138,1
60591,1
4389,1
9052,1
194332,1
5694,2
140464,1
13639,1
4304,2
125437,1
132415,1
62881,1
31774,1
25492,1
16455,2
18947,1
188430,1
8229,3
12201,1
171053,1
2408,3
131744,1
70450,1
155205,1
85189,1
73337,1
162370,1
19977,1
36811,1
1205,2
4665,1
30810,1
4197,2
86,82
81405,1
80327,1
276,20
5143,1
509,14
37189,1
37029,1
110514,1
239,17
1703,2
130251,1
844471,1
4925,1
358,12
212012,1
1674,2
99261,1
888015,1
29928,1
9537,1
145818,1
3870,1
477474,1
24753,1
113784,1
1301,3
51203,1
4948,1
11724,1
470798,1
149741,1
169437,1
36239,1
12061,2
1509,3
11537,1
44933,1
94095,1
13818,1
2165,3
4007,2
5967,1
23591,1
29859,1
440864,1
4641,1
95023,1
11287,1
290128,1
1672,1
356,13
4148,1
9380,1
24616,1
16989,1
481,7
6153,1
127852,1
41427,1
147283,1
1882,3
8710,1
843,4
33458,1
244760,1
11763,1
442,8
172799,1
9648,1
43592,1
26826,1
16576,1
8108,1
689,3
12804,1
37308,1
23539,1
9933,1
6954,1
59787,1
4370,1
202961,1
26212,1
6137,1
39916,1
2461,2
412,20
314,15
9964,1
6513,1
12123,1
1108,3
49945,1
79907,1
7278,1
7596,2
41470,1
2927,2
161804,1
9661,1
120,140
45171,1
6115,2
3989,1
31449,1
21716,1
1260,2
48365,1
183358,1
4735,1
42167,1
519901,1
9127,1
18503,1
3805,2
19807,1
3999,4
405247,1
182533,1
23368,1
107,50
758,8
12727,1
114951,1
71075,1
67453,1
2749,2
32119,1
5548,1
13660,1
4061,3
56549,1
23452,1
21740,1
145829,1
12481,1
30711,1
445,11
2633,1
26006,1
45610,1
4876,2
280940,1
300090,1
16437,1
7099,1
24253,1
3620,1
110,47
4024,1
613473,1
1746160,1
149773,1
69899,1
9109,1
144172,1
1808,2
200,61
334,15
17873,1
156726,1
18296,1
5138,1
54745,1
49571,1
179650,1
9556,1
408437,1
920,3
223437,1
9744,1
8730,1
7590,1
5768,1
24476,1
260,22
33169,1
282271,1
5738,1
53878,1
1415,5
224925,1
4952,1
16158,1
15222,1
78215,1
1934,1
9672,1
2385,2
1262,4
41919,1
380,21
2484,2
1747,5
3668,1
18951,1
16919,1
301779,1
25499,1
14874,1
5583,1
2046,6
3357,1
5761,1
2355,4
24475,2
3815,1
48849,1
2752,1
660,7
49557,1
6465,1
14053,1
16259,1
19823,1
10647,2
1129,4
49334,1
6941,1
23676,1
7084,1
105088,1
1978,3
5344,1
110430,1
21048,1
10292,1
2616,1
6874,1
168582,1
46245,1
5727,1
7588,1
76557,1
32600,1
10961,1
44390,1
2042,3
911,3
13826,1
6908,1
1407,4
4801,1
180738,1
16804,1
11732,1
1471,5
365141,1
4126,1
75,146
10486,1
8384,1
3854,2
3040,1
137996,1
39303,1
4926,3
753325,1
6875,1
3454,3
13098,1
157897,1
70569,1
15370,1
21067,1
2279,3
34604,1
2126,2
15369,1
5933,1
10850,2
2060,3
170882,1
4276,1
301,16
89800,1
202,21
1237,2
132,35
3187,1
4554,1
6856,1
3090,1
5154,1
3796,3
636,11
3785,1
55514,1
584,5
97770,1
26226,1
771,4
18380,1
160,85
5086,1
14094,1
232251,1
16692,1
717262,1
44648,1
6353,1
3180,1
2202,1
12414,1
2971,1
4519,1
17024,1
717967,1
11580,1
154791,1
12243,1
461,9
8332,1
2056,1
40161,1
18007,1
4847,2
55383,1
12505,1
11117,1
24258,1
14957,1
22259,1
3834,1
298,12
7952,1
18716,1
1760,3
44978,1
4755,1
7407,1
10845,1
12501,1
7442,1
4709,1
7426,2
5819,1
8039,1
5468,1
4282,3
1506940,1
28338,1
38663,1
4309,1
49883,1
2645,1
12435,1
1102,7
5561,1
302,13
105822,1
6116,1
42636,1
10253,1
2852,1
2223,3
2134,4
65649,1
30572,1
2969,1
16489,1
7023,1
9816,1
4382,2
18526,1
8287,1
7321,1
5790,1
15064,1
52943,1
1238,6
15837,1
257288,1
1028,5
42390,1
6786,1
13002,2
3455,1
575,9
78485,1
316373,1
3308,2
70258,1
34524,1
40822,1
965,4
828,5
1850,4
1165,4
43006,1
768,3
3443,1
4003,2
1807,1
62779,1
3841,1
1175,1
11926,1
53228,1
3699,1
1523,1
95704,1
237124,1
121940,1
6133,1
13853,1
78,105
141598,1
4399,1
20385,1
23902,1
40164,1
48999,1
853,3
4263,1
1685,3
2019,3
5913,1
504,9
11808,1
22488,1
3101,2
6536,1
9232,1
84,126
13858,1
325,23
7922,1
97405,1
442043,1
136033,1
113635,1
14281,1
79,45
4679,1
25356,1
59374,1
147,26
10659,1
5957,1
279,12
17210,1
12431,1
35436,1
19472,1
7689,1
418,5
28204,1
438410,1
52709,1
42128,1
7902,1
895,6
93,51
25342,1
30407,1
1534,4
28411,1
644,8
434,12
16257,1
37243,1
48205,1
17539,1
5977,1
121667,1
10936,1
2071,1
3267,2
31779,1
19970,1
10678,1
2897,1
6430,2
16616,1
138934,1
295,18
66064,1
4240,1
5238,2
135846,1
31274,1
6964,1
57941,1
426,8
23362,2
20883,1
31110,1
67006,1
9940,1
7404,1
5474,3
344,14
7513,1
150,58
1196,5
3474,1
539,7
87813,1
3286,3
46838,1
3299,2
4193,1
17880,1
36633,1
149623,1
9692,1
1744,2
4220,1
3707,1
32413,1
21266,1
7715,1
4662,1
425,10
65419,1
7797,1
1512,4
770,6
16649,1
1625,3
1046,7
842,6
4411,1
12965,1
416,11
4637,1
226,15
33511,1
8010,1
3036,1
2594,1
3366,1
1180,3
11223,2
1224,1
14376,1
23396,1
1429,3
12368,1
48143,1
16665,1
9584,1
2976,1
5340,1
151,28
3973,1
11539,1
6906,2
6578,1
670,12
1287,4
47367,1
9483,2
50344,1
50726,1
921,5
116589,1
35004,1
153563,1
720,11
33193,1
133,33
134877,1
8308,1
263,13
1909,1
185,30
4225,1
1669,2
1024,4
70,96
15233,1
4467,1
55675,1
80,338
793,5
432,9
3756,2
110810,1
1799,2
251,14
7110,1
1160,3
4768,1
141789,1
9871,1
3365,2
11030,1
59,98
20050,1
36381,1
5270,1
2486,1
593,7
306,23
39312,1
6636,2
31028,1
9596,1
6742,1
1119,3
103556,1
19119,1
549,7
1563,3
37414,1
28962,1
11133,1
6809,1
4216,1
63546,1
5046,1
2383,1
5520,1
86258,1
29868,1
266390,1
68677,1
2522,2
145,67
30676,1
131,35
5275,1
3462,3
6067,2
3898,1
1902,2
4760,2
3851,1
10303,2
4387,1
10081,1
3693,1
152,42
2184,1
8441,1
96331,1
4430,2
33612,1
224,44
5984,1
83245,1
517,12
1294,4
26020,1
27266,1
5601,1
78610,1
1623,2
109524,1
13025,1
8431,1
676,3
3597,2
5316,1
313,13
8978,1
20333,1
6576,1
1598,1
4639,1
5281,3
10898,1
104563,1
45250,1
17172,1
112521,1
39365,1
3723,1
11834,1
23120,1
2296,4
6673,3
69532,1
7814,1
13874,1
566,5
15689,1
10139,1
15808,2
36879,1
6091,1
4290,2
17553,1
26215,1
41060,1
63362,1
2295,2
1395,4
114,54
11148,2
49650,1
28751,1
7894,1
12611,1
51935,1
73209,1
24596,1
7834,1
11727,1
21973,1
1456,5
16685,1
3506,1
60778,1
33642,1
52459,1
54883,1
5916,2
24895,1
80081,1
16818,1
26868,1
989,5
5394,2
36636,1
1776,2
594,6
4594,1
369,13
8361,1
134675,1
8896,1
40998,1
1183,1
2226,2
13934,1
5448,2
44618,1
47251,1
5025,1
6429,1
21294,1
8496,1
5682,1
5902,1
5722,1
73934,1
35361,1
7074,1
21515,1
4863,1
25473,1
18113,1
3231,2
2583,2
42588,1
27064,1
37835,1
179022,1
3670,1
9337,1
20350,1
31744,1
12404,1
49857,1
44593,1
14576,1
101042,1
11330,1
947398,1
4920,1
36459,2
51850,1
15406,1
77157,1
83615,1
3112,1
7533,1
1330,3
9216,1
13509,1
44584,1
60693,1
3489,2
153022,1
34458,1
51121,1
26421,1
225262,1
59891,1
218496,1
24284,1
71703,1
172652,1
