Words,DistinctStems
1000,471
2000,781
3000,1066
4000,1312
5000,1545
6000,1748
7000,1930
8000,2115
9000,2263
10000,2396
11000,2543
12000,2667
13000,2813
14000,2935
15000,3049
16000,3144
17000,3268
18000,3375
19000,3475
20000,3588
21000,3695
22000,3776
23000,3869
24000,3967
25000,4080
26000,4172
27000,4259
28000,4359
29000,4448
30000,4540
31000,4622
32000,4705
33000,4809
34000,4884
35000,4945
36000,5018
37000,5094
38000,5157
39000,5220
40000,5293
41000,5361
42000,5416
43000,5485
44000,5564
45000,5639
46000,5706
47000,5756
48000,5831
49000,5878
50000,5915
51000,5986
52000,6049
53000,6122
54000,6188
55000,6244
56000,6293
57000,6356
58000,6414
59000,6477
60000,6529
61000,6577
62000,6636
63000,6677
64000,6742
65000,6787
66000,6843
67000,6894
68000,6947
69000,6990
70000,7042
71000,7094
72000,7132
73000,7185
74000,7224
75000,7272
76000,7323
77000,7365
78000,7408
79000,7468
80000,7509
81000,7552
82000,7602
83000,7630
84000,7665
85000,7706
86000,7752
87000,7791
88000,7839
89000,7884
90000,7921
91000,7960
92000,7999
93000,8038
94000,8075
95000,8113
96000,8154
97000,8186
98000,8218
99000,8256
100000,8290
101000,8325
102000,8352
103000,8390
104000,8428
105000,8461
106000,8498
107000,8546
108000,8574
109000,8601
110000,8641
111000,8668
112000,8705
113000,8734
114000,8769
115000,8801
116000,8842
117000,8865
118000,8902
119000,8937
120000,8973
121000,9006
122000,9044
123000,9075
124000,9100
125000,9131
126000,9164
127000,9188
128000,9208
129000,9228
130000,9261
131000,9298
132000,9326
133000,9353
134000,9378
135000,9417
136000,9446
137000,9472
138000,9499
139000,9527
140000,9558
141000,9577
142000,9611
143000,9636
144000,9658
145000,9691
146000,9718
147000,9750
148000,9772
149000,9813
150000,9842
151000,9879
152000,9920
153000,9985
154000,10017
155000,10040
156000,10067
157000,10096
158000,10127
159000,10165
160000,10186
161000,10221
162000,10248
163000,10276
164000,10301
165000,10325
166000,10359
167000,10376
168000,10406
169000,10432
170000,10473
171000,10492
172000,10523
173000,10555
174000,10581
175000,10613
176000,10629
177000,10651
178000,10676
179000,10707
180000,10734
181000,10759
182000,10776
183000,10799
184000,10826
185000,10853
186000,10880
187000,10912
188000,10941
189000,10969
190000,10993
191000,11011
192000,11026
193000,11056
194000,11077
195000,11107
196000,11122
197000,11152
198000,11175
199000,11196
200000,11216
201000,11236
202000,11271
203000,11300
204000,11321
205000,11345
206000,11374
207000,11403
208000,11423
209000,11459
210000,11480
211000,11499
212000,11516
213000,11535
214000,11563
215000,11594
216000,11625
217000,11649
218000,11684
219000,11702
220000,11724
221000,11747
222000,11766
223000,11788
224000,11801
225000,11827
226000,11852
227000,11878
228000,11899
229000,11922
230000,11950
231000,11970
232000,11989
233000,12026
234000,12050
235000,12066
236000,12082
237000,12095
238000,12113
239000,12134
240000,12148
241000,12167
242000,12187
243000,12221
244000,12244
245000,12264
246000,12291
247000,12316
248000,12334
249000,12356
250000,12371
251000,12396
252000,12413
253000,12437
254000,12458
255000,12476
256000,12503
257000,12530
258000,12549
259000,12571
260000,12595
261000,12609
262000,12623
263000,12639
264000,12669
265000,12686
266000,12704
267000,12726
268000,12751
269000,12767
270000,12786
271000,12808
272000,12824
273000,12843
274000,12862
275000,12884
276000,12896
277000,12915
278000,12942
279000,12960
280000,12976
281000,12997
282000,13012
283000,13040
284000,13049
285000,13064
286000,13079
287000,13101
288000,13124
289000,13134
290000,13152
291000,13173
292000,13193
293000,13217
294000,13231
295000,13252
296000,13271
297000,13284
298000,13294
299000,13306
300000,13330
301000,13349
302000,13367
303000,13387
304000,13404
305000,13428
306000,13443
307000,13453
308000,13471
309000,13481
310000,13501
311000,13522
312000,13535
313000,13548
314000,13559
315000,13577
316000,13591
317000,13615
318000,13626
319000,13648
320000,13657
321000,13674
322000,13688
323000,13707
324000,13733
325000,13747
326000,13763
327000,13780
328000,13801
329000,13819
330000,13840
331000,13855
332000,13867
333000,13882
334000,13905
335000,13920
336000,13942
337000,13963
338000,13987
339000,13997
340000,14018
341000,14037
342000,14056
343000,14081
344000,14099
345000,14114
346000,14130
347000,14160
348000,14170
349000,14186
350000,14203
351000,14219
352000,14233
353000,14255
354000,14269
355000,14282
356000,14295
357000,14303
358000,14322
359000,14336
360000,14351
361000,14362
362000,14379
363000,14390
364000,14400
365000,14409
366000,14431
367000,14446
368000,14462
369000,14478
370000,14498
371000,14503
372000,14519
373000,14536
374000,14553
375000,14567
376000,14581
377000,14596
378000,14604
379000,14618
380000,14640
381000,14652
382000,14671
383000,14682
384000,14697
385000,14714
386000,14725
387000,14746
388000,14769
389000,14784
390000,14798
391000,14839
392000,14854
393000,14868
394000,14880
395000,14892
396000,14905
397000,14916
398000,14925
399000,14937
400000,14952
401000,14965
402000,14977
403000,14987
404000,15002
405000,15020
406000,15034
407000,15045
408000,15059
409000,15075
410000,15090
411000,15110
412000,15129
413000,15142
414000,15157
415000,15170
416000,15190
417000,15207
418000,15213
419000,15224
420000,15235
421000,15251
422000,15264
423000,15294
424000,15304
425000,15313
426000,15325
427000,15338
428000,15350
429000,15361
430000,15372
431000,15385
432000,15396
433000,15406
434000,15421
435000,15425
436000,15442
437000,15460
438000,15470
439000,15489
440000,15501
441000,15520
442000,15535
443000,15547
444000,15559
445000,15581
446000,15590
447000,15606
448000,15618
449000,15626
450000,15637
451000,15648
452000,15663
453000,15671
454000,15682
455000,15688
456000,15702
457000,15707
458000,15717
459000,15727
460000,15744
461000,15759
462000,15772
463000,15785
464000,15797
465000,15808
466000,15821
467000,15838
468000,15846
469000,15854
470000,15873
471000,15884
472000,15887
473000,15897
474000,15911
475000,15921
476000,15927
477000,15942
478000,15959
479000,15969
480000,15979
481000,15997
482000,16009
483000,16015
484000,16027
485000,16036
486000,16044
487000,16056
488000,16064
489000,16079
490000,16092
491000,16106
492000,16130
493000,16141
494000,16165
495000,16174
496000,16189
497000,16196
498000,16215
499000,16230
500000,16246
501000,16249
502000,16264
503000,16275
504000,16283
505000,16295
506000,16308
507000,16317
508000,16331
509000,16345
510000,16358
511000,16371
512000,16380
513000,16387
514000,16394
515000,16405
516000,16422
517000,16433
518000,16446
519000,16459
520000,16473
521000,16484
522000,16493
523000,16509
524000,16518
525000,16532
526000,16542
527000,16549
528000,16556
529000,16572
530000,16579
531000,16588
532000,16605
533000,16615
534000,16624
535000,16631
536000,16647
537000,16657
538000,16671
539000,16685
540000,16692
541000,16709
542000,16718
543000,16726
544000,16737
545000,16748
546000,16757
547000,16771
548000,16783
549000,16792
550000,16799
551000,16813
552000,16823
553000,16838
554000,16848
555000,16865
556000,16871
557000,16882
558000,16892
559000,16900
560000,16908
561000,16916
562000,16925
563000,16932
564000,16941
565000,16956
566000,16968
567000,16973
568000,16982
569000,16994
570000,17003
571000,17012
572000,17022
573000,17040
574000,17051
575000,17061
576000,17068
577000,17076
578000,17096
579000,17109
580000,17122
581000,17131
582000,17145
583000,17153
584000,17167
585000,17190
586000,17201
587000,17210
588000,17223
589000,17239
590000,17253
591000,17268
592000,17284
593000,17298
594000,17310
595000,17323
596000,17336
597000,17341
598000,17355
599000,17362
600000,17376
601000,17385
602000,17396
603000,17403
604000,17417
605000,17428
606000,17439
607000,17456
608000,17473
609000,17481
610000,17489
611000,17498
612000,17504
613000,17515
614000,17526
615000,17543
616000,17551
617000,17561
618000,17576
619000,17592
620000,17604
621000,17607
622000,17615
623000,17623
624000,17632
625000,17641
626000,17649
627000,17654
628000,17669
629000,17680
630000,17689
631000,17709
632000,17714
633000,17721
634000,17724
635000,17740
636000,17752
637000,17761
638000,17779
639000,17787
640000,17797
641000,17815
642000,17827
643000,17838
644000,17839
645000,17856
646000,17862
647000,17864
648000,17874
649000,17884
650000,17891
651000,17905
652000,17918
653000,17929
654000,17938
655000,17952
656000,17962
657000,17969
658000,17979
659000,17991
660000,17998
661000,18006
662000,18020
663000,18026
664000,18036
665000,18047
666000,18063
667000,18069
668000,18081
669000,18090
670000,18101
671000,18109
672000,18124
673000,18138
674000,18146
675000,18151
676000,18161
677000,18173
678000,18183
679000,18191
680000,18199
681000,18207
682000,18214
683000,18224
684000,18242
685000,18244
686000,18252
687000,18262
688000,18266
689000,18273
690000,18285
691000,18297
692000,18315
693000,18325
694000,18341
695000,18350
696000,18359
697000,18365
698000,18371
699000,18378
700000,18393
701000,18404
702000,18414
703000,18417
704000,18427
705000,18439
706000,18446
707000,18456
708000,18466
709000,18483
710000,18498
711000,18506
712000,18512
713000,18520
714000,18527
715000,18532
716000,18537
717000,18550
718000,18564
719000,18573
720000,18577
721000,18593
722000,18603
723000,18611
724000,18622
725000,18627
726000,18636
727000,18650
728000,18658
729000,18671
730000,18675
731000,18687
732000,18694
733000,18699
734000,18713
735000,18715
736000,18717
737000,18726
738000,18734
739000,18748
740000,18761
741000,18774
742000,18786
743000,18792
744000,18799
745000,18811
746000,18817
747000,18822
748000,18830
749000,18836
750000,18846
751000,18854
752000,18860
753000,18869
754000,18879
755000,18886
756000,18899
757000,18910
758000,18916
759000,18922
760000,18936
761000,18941
762000,18947
763000,18953
764000,18962
765000,18967
766000,18975
767000,18986
768000,18995
769000,19003
770000,19009
771000,19021
772000,19030
773000,19046
774000,19067
775000,19072
776000,19077
777000,19088
778000,19096
779000,19105
780000,19114
781000,19126
782000,19132
783000,19139
784000,19149
785000,19159
786000,19170
787000,19182
788000,19193
789000,19207
790000,19210
791000,19221
792000,19230
793000,19236
794000,19248
795000,19260
796000,19262
797000,19272
798000,19279
799000,19284
800000,19295
801000,19307
802000,19316
803000,19327
804000,19335
805000,19346
806000,19357
807000,19370
808000,19374
809000,19385
810000,19392
811000,19401
812000,19412
813000,19419
814000,19425
815000,19443
816000,19448
817000,19458
818000,19461
819000,19466
820000,19476
821000,19485
822000,19496
823000,19502
824000,19510
825000,19518
826000,19526
827000,19536
828000,19545
829000,19556
830000,19562
831000,19570
832000,19576
833000,19585
834000,19597
835000,19604
836000,19611
837000,19622
838000,19627
839000,19632
840000,19642
841000,19650
842000,19657
843000,19664
844000,19673
845000,19685
846000,19691
847000,19700
848000,19706
849000,19722
850000,19728
851000,19733
852000,19739
853000,19748
854000,19759
